Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,pet,_merge_terra,nir,green,swir16,swir22,NDMI,MNDWI,_merge_landsat,Impute_Method
-34.09639,24.43917,2011-03-09,,,,130.0,both,12003.0,8511.0,9158.0,8134.5,0.1344454420868579,-0.03661780519554,both,Original
-34.09639,24.43917,2011-10-12,,,,152.0,both,15192.0,8196.0,10225.0,8833.0,0.19542038792933863,-0.11014602898865425,both,Original
-34.09639,24.43917,2011-11-08,,,,152.0,both,14338.5,8332.0,10467.5,8750.0,0.1560509554140127,-0.1135934466342184,both,Original
-34.09639,24.43917,2012-02-07,,,,130.0,both,14411.0,8184.0,10236.0,8420.0,0.16939181239096035,-0.11140065146579804,both,Original
-34.09639,24.43917,2013-02-26,,,,135.40001,both,14697.0,8345.0,10882.0,8734.0,0.1491457836506509,-0.1319498621729852,both,Original
-34.09639,24.43917,2013-03-26,,,,135.40001,both,14697.0,8345.0,10882.0,8734.0,0.1491457836506509,-0.1319498621729852,both,Original
-34.09639,24.43917,2014-01-07,,,,60.5,both,15394.0,8462.5,10996.0,8837.5,0.1666540356195528,-0.1302001695916944,both,Original
-34.09639,24.43917,2014-02-05,,,,134.2,both,15394.0,8462.5,10996.0,8837.5,0.1666540356195528,-0.1302001695916944,both,Original
-34.09639,24.43917,2014-03-25,,,,134.2,both,14744.5,8428.0,10806.5,9006.0,0.1541231262964267,-0.1236580103459922,both,Original
-34.09639,24.43917,2014-04-23,,,,134.2,both,14102.5,8290.0,10425.0,8611.5,0.1499337478340638,-0.1140796152818588,both,Original
-34.09639,24.43917,2015-09-16,,,,150.7,both,14387.0,8290.5,10457.5,8849.5,0.1581637787035359,-0.1155856624706629,both,Original
-34.09639,24.43917,2015-11-12,,,,150.7,both,14635.5,8460.0,11053.0,8976.0,0.1394592911224867,-0.1328857684620502,both,Original
-34.0325,24.19639,2011-11-08,,,,155.1,both,11844.0,8178.0,9033.0,8179.0,0.13464578244000575,-0.04967753181105107,both,Original
-33.77111,25.38667,2012-12-06,,,,171.40001,both,17562.0,9492.0,13559.5,10235.0,0.1286088395482223,-0.1764527254191693,both,Original
-33.77111,25.38667,2013-11-08,,,,170.0,both,17001.5,9381.0,13052.0,10363.5,0.1314156421049129,-0.1636428475906024,both,Original
-33.77111,25.38667,2013-12-06,,,,170.0,both,17819.0,9553.0,13360.0,10315.0,0.14301292536643254,-0.16615022039890018,both,Original
-33.77111,25.38667,2014-12-04,,,,174.0,both,17470.5,9528.0,13101.0,10068.0,0.1429272361513174,-0.1578947368421046,both,Original
-33.77111,25.38667,2015-05-27,,,,179.8,both,15480.5,9049.0,12915.5,10322.0,0.0903296238906888,-0.1760340549523086,both,Original
-33.73111,24.61833,2012-06-21,,,,151.7,both,12462.5,8451.5,10133.5,8602.0,0.1030713400601876,-0.0905030938929239,both,Original
